DATE,APU0000708111
1980-01-01,0.879
1980-02-01,0.774
1980-03-01,0.812
1980-04-01,0.797
1980-05-01,0.737
1980-06-01,0.731
1980-07-01,0.776
1980-08-01,0.907
1980-09-01,0.898
1980-10-01,0.867
1980-11-01,0.917
1980-12-01,1.031
1981-01-01,0.943
1981-02-01,0.924
1981-03-01,0.875
1981-04-01,0.904
1981-05-01,0.836
1981-06-01,0.852
1981-07-01,0.860
1981-08-01,0.868
1981-09-01,0.915
1981-10-01,0.898
1981-11-01,0.943
1981-12-01,0.966
1982-01-01,0.925
1982-02-01,1.007
1982-03-01,0.952
1982-04-01,0.896
1982-05-01,0.842
1982-06-01,0.783
1982-07-01,0.851
1982-08-01,0.778
1982-09-01,0.852
1982-10-01,0.854
1982-11-01,0.849
1982-12-01,0.813
1983-01-01,0.821
1983-02-01,0.794
1983-03-01,0.836
1983-04-01,0.825
1983-05-01,0.865
1983-06-01,0.825
1983-07-01,0.847
1983-08-01,0.884
1983-09-01,0.938
1983-10-01,0.962
1983-11-01,0.996
1983-12-01,1.131
1984-01-01,1.301
1984-02-01,1.324
1984-03-01,1.153
1984-04-01,1.199
1984-05-01,1.054
1984-06-01,0.903
1984-07-01,0.876
1984-08-01,0.860
1984-09-01,0.854
1984-10-01,0.842
1984-11-01,0.823
1984-12-01,0.867
1985-01-01,0.746
1985-02-01,0.784
1985-03-01,0.790
1985-04-01,0.783
1985-05-01,0.745
1985-06-01,0.724
1985-07-01,0.787
1985-08-01,0.789
1985-09-01,0.857
1985-10-01,0.860
1985-11-01,0.872
1985-12-01,0.906
1986-01-01,0.901
1986-02-01,0.866
1986-03-01,0.887
1986-04-01,0.890
1986-05-01,0.820
1986-06-01,0.795
1986-07-01,0.833
1986-08-01,0.913
1986-09-01,0.868
1986-10-01,0.855
1986-11-01,0.897
1986-12-01,0.910
1987-01-01,0.862
1987-02-01,0.823
1987-03-01,0.800
1987-04-01,0.786
1987-05-01,0.763
1987-06-01,0.711
1987-07-01,0.763
1987-08-01,0.730
1987-09-01,0.837
1987-10-01,0.778
1987-11-01,0.805
1987-12-01,0.733
1988-01-01,0.760
1988-02-01,0.718
1988-03-01,0.740
1988-04-01,0.719
1988-05-01,0.678
1988-06-01,0.705
1988-07-01,0.803
1988-08-01,0.909
1988-09-01,0.874
1988-10-01,0.896
1988-11-01,0.839
1988-12-01,0.833
1989-01-01,0.941
1989-02-01,0.890
1989-03-01,1.031
1989-04-01,0.997
1989-05-01,0.956
1989-06-01,0.937
1989-07-01,0.961
1989-08-01,0.983
1989-09-01,1.038
1989-10-01,1.023
1989-11-01,1.080
1989-12-01,1.137
1990-01-01,1.223
1990-02-01,1.041
1990-03-01,1.111
1990-04-01,1.092
1990-05-01,0.940
1990-06-01,0.930
1990-07-01,0.899
1990-08-01,0.954
1990-09-01,0.946
1990-10-01,1.012
1990-11-01,1.018
1990-12-01,1.001
1991-01-01,1.106
1991-02-01,0.987
1991-03-01,1.069
1991-04-01,1.002
1991-05-01,0.908
1991-06-01,0.884
1991-07-01,0.966
1991-08-01,1.024
1991-09-01,0.987
1991-10-01,0.976
1991-11-01,0.950
1991-12-01,1.012
1992-01-01,0.933
1992-02-01,0.881
1992-03-01,0.850
1992-04-01,0.829
1992-05-01,0.836
1992-06-01,0.801
1992-07-01,0.827
1992-08-01,0.809
1992-09-01,0.873
1992-10-01,0.858
1992-11-01,0.897
1992-12-01,0.928
1993-01-01,0.898
1993-02-01,0.895
1993-03-01,0.927
1993-04-01,0.997
1993-05-01,0.895
1993-06-01,0.921
1993-07-01,0.900
1993-08-01,0.929
1993-09-01,0.890
1993-10-01,0.897
1993-11-01,0.917
1993-12-01,0.871
1994-01-01,0.917
1994-02-01,0.903
1994-03-01,0.926
1994-04-01,0.861
1994-05-01,0.801
1994-06-01,0.841
1994-07-01,0.815
1994-08-01,0.895
1994-09-01,0.855
1994-10-01,0.810
1994-11-01,0.857
1994-12-01,0.873
1995-01-01,0.882
1995-02-01,0.863
1995-03-01,0.875
1995-04-01,0.833
1995-05-01,0.819
1995-06-01,0.825
1995-07-01,0.879
1995-08-01,0.984
1995-09-01,0.956
1995-10-01,0.981
1995-11-01,1.037
1995-12-01,1.160
1996-01-01,1.155
1996-02-01,1.091
1996-03-01,1.138
1996-04-01,1.086
1996-05-01,1.021
1996-06-01,0.945
1996-07-01,1.042
1996-08-01,1.072
1996-09-01,1.150
1996-10-01,1.129
1996-11-01,1.139
1996-12-01,1.308
1997-01-01,1.148
1997-02-01,1.132
1997-03-01,1.056
1997-04-01,1.081
1997-05-01,1.002
1997-06-01,0.952
1997-07-01,0.979
1997-08-01,1.061
1997-09-01,1.009
1997-10-01,1.018
1997-11-01,1.090
1997-12-01,1.172
1998-01-01,1.120
1998-02-01,1.073
1998-03-01,1.043
1998-04-01,1.061
1998-05-01,0.960
1998-06-01,0.932
1998-07-01,0.971
1998-08-01,1.053
1998-09-01,1.022
1998-10-01,1.048
1998-11-01,1.077
1998-12-01,1.089
1999-01-01,1.053
1999-02-01,1.078
1999-03-01,1.005
1999-04-01,0.942
1999-05-01,0.900
1999-06-01,0.949
1999-07-01,0.880
1999-08-01,1.020
1999-09-01,0.956
1999-10-01,0.888
1999-11-01,0.920
1999-12-01,0.920
2000-01-01,0.975
2000-02-01,0.962
2000-03-01,0.931
2000-04-01,0.939
2000-05-01,0.852
2000-06-01,0.838
2000-07-01,0.868
2000-08-01,0.893
2000-09-01,0.920
2000-10-01,0.923
2000-11-01,0.902
2000-12-01,0.959
2001-01-01,1.011
2001-02-01,0.943
2001-03-01,0.886
2001-04-01,1.028
2001-05-01,0.881
2001-06-01,0.920
2001-07-01,0.862
2001-08-01,0.929
2001-09-01,0.916
2001-10-01,0.916
2001-11-01,0.935
2001-12-01,0.925
2002-01-01,0.973
2002-02-01,0.996
2002-03-01,1.003
2002-04-01,1.047
2002-05-01,0.997
